RAZAO SOCIAL;Nome para Indicador
 A AZEVEDO -  A AZEVEDO IND COM DE OLEOS LT;A AZEVEDO IND COM DE OLEOS LT
 ACTEGA DO BRASIL TINTAS E VERNIZES LTDA.;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA
 ATEQ - SA ATEQ SUL TECNOLOGIA E INSTRUMENTACAO LTDA   ;SA ATEQ SUL
 ATLAS SA; ATLAS SA
 BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA;NEO QUIMICA
 CLARIOS ENERGY - CLARIOS ENERGY SOLUTIONS BRASIL LTDA. ;CLARIOS ENERGY SOLUTIONS BRASIL LTDA. 
 PARTER TRADING IMPORTADORA E EXPORTADORA LTDA; PARTER TRADING IMPORTADORA E EXPORTADORA LTDA
 VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.;VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.
 WEBMED SOLUCOES EM SAUDE EIRELI; WEBMED SOLUCOES EM SAUDE EIRELI
 WINDMOELLER & HOELSCHER DO BRASIL LT;WINDMOELLER & HOELSCHER DO BRASIL LT
******** - LEMON FRESH BRASIL IMPORTADORA E EXPORTADORA LTDA;LEMON FRESH BRASIL IMPORTADORA E EXPORTADORA LTDA
011 IMPORT - 011 SHOP IMPORTACAO E EXPORTACAO LTDA;011 SHOP IMPORTACAO E EXPORTACAO LTDA
1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA;1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA
23C CONSULTING - ROBERTO LICHTENFELS;23C CONSULTING - ROBERTO LICHTENFELS
25 DE JULHO - 25 DE JULHO TRANSP. E REPRESENTAÇÕES LTDA;25 DE JULHO TRANSP. E REPRESENTAÇÕES LTDA
25 DE JULHO - 25 DE JULHO TRANSPORTES LTDA;25 DE JULHO TRANSP. E REPRESENTAÇÕES LTDA
3M - 3M DO BRASIL LTDA;3M DO BRASIL LTDA
3M - 3M ITAPETININGA;3M DO BRASIL LTDA
3M - 3M MANAUS INDUSTRIA DE PRODUTOS QUIMICOS DO BRASIL LTDA;3M DO BRASIL LTDA
3M DO BRASIL LTDA;3M DO BRASIL LTDA
3SHAPE - 3SHAPE DO BRASIL SOLUCOES TECNOLOGI PARA SAUDE LTDA;3SHAPE DO BRASIL SOLUCOES TECNOLOGICAS PARA SAUDE LTDA
3SHAPE - 3SHAPE DO BRASIL SOLUCOES TECNOLOGICAS PARA SAUDE LTDA;3SHAPE DO BRASIL SOLUCOES TECNOLOGICAS PARA SAUDE LTDA
4 LOGISTICA E TRANSPORTES - 4 LOG LOGISTICA E TRANSPORTE LTDA - ME;4 LOG LOGISTICA E TRANSPORTE LTDA - ME
4TECH MAQUINAS - OMEGA NEGOCIOS CORPORATIVOS EIRELLI ME;4TECH MAQUINAS - OMEGA NEGOCIOS CORPORATIVOS EIRELLI ME
7PTS COMERCIAL DO BRASIL S.A;7PTS COMERCIAL DO BRASIL S.A
A B COSTANTIN & CIA LTDA - EPP;A B COSTANTIN & CIA LTDA - EPP
A C DISTRIBUIDORA DE CEREAIS LTDA - ME;A C DISTRIBUIDORA DE CEREAIS LTDA - ME
A FRIEDBERG DO BRASIL - A. FRIEDBERG DO BRASIL IND. E COM. LTDA.;A FRIEDBERG DO BRASIL
A SEM - FRESENIUS HEMOCARE BRASIL LTDA.;FRESENIUS LTDA
A. SCHULMAN PLASTICOS DO BRASIL LTDA. ;A. SCHULMAN PLASTICOS DO BRASIL LTDA. 
A.G. PROJECTS DO BRASIL - A.G. PROJECTS DO BRASIL LTDA;A.G. PROJECTS DO BRASIL LTDA
A.G.C. VIDROS - AGC VIDROS DO BRASIL LTDA.;AGC VIDROS DO BRASIL LTDA.
A.L DE LIMA COMERCIO E DISTRIBUIÇÃO;A.L DE LIMA COMERCIO E DISTRIBUIÇÃO
A.R.A. QUIMICA - ASHLAND POLIMEROS DO BRASIL SA;ASHLAND POLIMEROS DO BRASIL SA
A.T.I. SANGYO EQUIPAMENTOS AVICOLAS LTDA ¿ EPP;A.T.I. SANGYO EQUIPAMENTOS AVICOLAS LTDA EPP
AACD IBIRAPUERA - ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE;AACD IBIRAPUERA - ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE
AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA
AB CARTER - AB CARTER BRASIL LTDA;AB CARTER BRASIL LTDA
ABASE - ABASE COMERCIO E REPRESENTACOES LTDA;ABASE COMERCIO E REPRESENTACOES LTDA
ABASTEEL INDUSTRIA E COMERCIO DE LIGAS PARA FUNDIÇÃO LTDA;ABASTEEL IND.DE LIGAS PARA FUNDIÇÃO
ABB - ABB LTDA;ABB LTDA
ABB LTDA;ABB LTDA
ABBOTT RJ - ABBOTT LABORATORIOS DO BRASIL LTDA;ABBOTT LABORATORIOS DO BRASIL
ABM BRASIL - ABM - AMERICAN BUILDING MACHINERY LTDA - EIRELI - EPP  ;ABB LTDA
ABRÃO DESPACHOS INTERNACIONAIS LTDA.;ABRÃO DESPACHOS INTERNACIONAIS LTDA.
ABRASIPA - ABRASIPA IND.DE ABRASIVOS LTDA;ABRASIPA IND.DE ABRASIVOS LTDA
ABSA - ABSA AEROLINHAS BRASILEIRAS S.A;ABSA AEROLINHAS BRASILEIRAS
ABYTRANS - ABILITY SERVI D COMER EXTERIOR E TRANSPORTES LTDA - EPP;ABYTRANS - ABILITY SERVI D COMER EXTERIOR E TRANSPORTES LTDA - EPP
ACCIONA - ACCIONA F. B LOG. TRANSP. MULTIMODAL S/A;ACCIONA - ACCIONA F. B LOG. TRANSP. MULTIMODAL S/A
ACE SCHMERSAL - ACE SCHMERSAL ELETROELET INDUSTRIAL LTDA;ACE SCHMERSAL ELETROELET INDUSTRIAL LTDA
ACE SCHMERSAL - ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA;ACE SCHMERSAL ELETROELET INDUSTRIAL LTDA
ACEARIA FREDERICO MISSNER SOCIEDADE ANONIMA;ACEARIA FREDERICO MISSNER SOCIEDADE ANONIMA
ACG DO BRASIL S/A   ;ACG DO BRASIL S/A   
ACHE LABORATORIOS FARMACEUTICOS SA;ACHE LABORATORIOS FARMACEUTICOS SA
ACO SOLUCOES EM DRENAGEM LTDA;ACO SOLUCOES EM DRENAGEM LTDA
ACOME DO BRASIL LTDA;ACOME DO BRASIL LTDA
ACQUASOFT TECNOLOGIAS  - ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA;ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA
ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA;ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA
